2025-11-17 10:29:21 +05:30: 
2025-11-17 10:29:21 +05:30: > sos-frontend@1.0.0 serve
2025-11-17 10:29:21 +05:30: > npx serve -s dist -l 3000
2025-11-17 10:29:21 +05:30: 
2025-11-17 10:29:22 +05:30:  INFO  Accepting connections at http://localhost:3000
2025-11-17 10:29:42 +05:30:  HTTP  17/11/2025 10:29:42 am ::1 GET /
2025-11-17 10:29:42 +05:30:  HTTP  17/11/2025 10:29:42 am ::1 Returned 200 in 19 ms
2025-11-17 10:29:42 +05:30:  HTTP  17/11/2025 10:29:42 am ::1 GET /assets/index-j_ZlssDv.js
2025-11-17 10:29:42 +05:30:  HTTP  17/11/2025 10:29:42 am ::1 GET /assets/index-BB_uTDJc.css
2025-11-17 10:29:42 +05:30:  HTTP  17/11/2025 10:29:42 am ::1 Returned 200 in 13 ms
2025-11-17 10:29:42 +05:30:  HTTP  17/11/2025 10:29:42 am ::1 Returned 200 in 20 ms
2025-11-17 10:29:43 +05:30:  HTTP  17/11/2025 10:29:43 am ::1 GET /vite.svg
2025-11-17 10:29:43 +05:30:  HTTP  17/11/2025 10:29:43 am ::1 Returned 200 in 2 ms
2025-11-17 10:29:43 +05:30:  HTTP  17/11/2025 10:29:43 am ::1 GET /vite.svg
2025-11-17 10:29:43 +05:30:  HTTP  17/11/2025 10:29:43 am ::1 Returned 304 in 1 ms
